ZT2T6,417,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.138,45,14197,0.553,413868,,
DWDSW,418,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.505,0.138,45,14012,0.547,437838,,
Q2JZ4,419,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.137,46,14321,0.549,434122,,
2WA6H,420,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.135,45,14465,0.551,424679,,
F6D85,421,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.512,0.139,42,12724,0.185,377628,,
CMBXA,422,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.513,0.135,42,13410,0.19,408289,,
KLT3B,423,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.514,0.14,42,12526,0.196,333009,,
C6HVM,424,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.517,0.133,34,11095,0.143,390253,,
GC46A,425,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.518,0.132,34,11177,0.136,382224,,
38B4E,426,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11294,0.143,411422,,
3JRAQ,427,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.132,35,11643,0.144,390197,,
DYJ5D,428,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.129,36,12613,0.15,457860,,
N7ZJL,429,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.128,34,12195,0.137,451272,,
MJAPS,430,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11410,0.148,426110,,
SWQT4,431,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.135,39,12608,0.259,394069,,
6BKKZ,432,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.13,39,13810,0.301,411605,,
