Specimen ID,Test #,Report #,Test Date,Operator,Material,Batch #,Yield (N),Yield Str. (MPa),Tensile (N),Modulus of Elasticity (MPa),Break Elong [mm],Yield Elong.  [mm],Tensile Elong [mm],Tensile Str. (MPa),Comments
3R7ES,534,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1495.23,33.33,1495.73,6.01,5.39,5.21,5.23,33.34,,
WVVY8,535,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1303.05,30.54,1303.17,4.88,6.07,4.89,4.9,30.54,,
DM9UV,536,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1320.15,30.99,1320.46,5.14,5.78,4.87,4.88,30.99,,
XP6LC,537,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1310.39,30.88,1310.44,5.67,5.27,4.82,4.84,30.88,,
R9RCA,538,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2253.13,52.64,2253.97,6.49,5.56,5.5,5.52,52.66,,
VQA68,539,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2311.73,52.13,2312.04,7.24,5.49,5.41,5.42,52.14,,
QYHX5,540,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2238.07,49.59,2239.95,7.21,4.96,4.9,4.93,49.63,,
2XKUH,541,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2190,48.48,2199.67,5.82,5.8,5.76,5.8,48.7,,
XT45Q,542,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2357.16,55.07,2357.16,7.84,5.81,5.41,5.41,55.07,,
7LJD2,543,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2352.42,54.66,2352.6,9.45,4.97,4.91,4.91,54.67,,
4ZRMA,544,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2366.08,54.85,2367.9,8.39,5.19,5.13,5.16,54.89,,
SR799,545,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2170.45,48.97,2177.36,6.62,5.09,5.04,5.09,49.12,,
Q5UA3,546,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2479.41,54.73,2480,5.81,6.38,6.31,6.34,54.74,,
DZUND,547,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2347.72,51.55,2361.28,5.72,5.79,5.74,5.79,51.85,,
KSQ2X,548,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2378.99,53.1,2380.35,6.36,5.81,5.75,5.77,53.13,,
MBLDU,549,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2244.1,50.13,2256.63,6.33,5.35,5.32,5.35,50.41,,
3XBMU,550,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2312.71,51.5,2324.04,7.13,5.26,5.2,5.26,51.75,,
FTV9M,552,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1745.66,39.47,1756.42,7.98,4.28,4.22,4.28,39.72,,
ED6UB,553,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1791.4,40.58,1793.69,7.3,4.73,4.68,4.73,40.63,,
JDJSA,554,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1756.76,39.48,1771.55,8.36,4.34,4.29,4.34,39.81,,
XXZXW,555,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2464.78,56.33,2464.78,9.89,6.55,5.6,5.6,56.33,,
WV3YY,556,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2435.02,56.27,2435.22,8.1,6.52,5.87,5.86,56.28,,
8ZBE9,557,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2475.06,57.08,2475.06,8.33,6.95,5.93,5.93,57.08,,
H4RLF,558,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2343.8,53.97,2362.4,8,5.26,5.2,5.26,54.4,,
REGZL,559,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2430.87,56.09,2446.5,7.07,5.57,5.51,5.57,56.45,,
5A3BQ,560,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2363.6,54.59,2381.83,7.04,5.56,5.49,5.56,55.01,,
QYZNJ,561,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2346.19,53.33,2362.47,7.13,5.32,5.28,5.32,53.7,,
PNPHX,562,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2407.7,55.46,2429.22,7.2,5.44,5.38,5.44,55.96,,
