43818,Tensile Properties of Plastics,Report No.,143,Test Date,2019-12-19 00:00:00,Testing Machine SSTM-5KN 0819533,Unnamed: 7,Operator,Taylor,Unnamed: 10,Material,KVP_PETG_Silver,Unnamed: 13,Batch No.,11855,Unnamed: 16,"Load Cell S/N (TVI122147), Units (Lbs )",1124,Crosshead Speed ( Inches / min ) or Rate,0.5,Displacement Sensor,XHD-100  ( XHD-100 )
Label1,Label8,Label2,Label6,Label7,Label3,Label4,Label5,Text6,Text9,TESTNUM,SPEC_ID,RESULT1,RESULT2,RESULT3,RESULT4,RESULT5,RESULT6,RESULT7,RESULT8,COMMENTS,,
,,,,,,,,,,564,RZFE4,431.23,6249.65,431.24,25089,0.27,0.25,0.25,6249.89,,,
,,,,,,,,,,565,HQDHD,438.14,6304.15,438.14,27238,0.26,0.24,0.24,6304.15,,,
,,,,,,,,,,566,5SDKT,434.88,6257.27,434.88,29134,0.25,0.23,0.23,6257.32,,,
,,,,,,,,,,567,L8M6B,446.49,6537.14,446.53,24355,0.27,0.26,0.26,6537.84,,,
,,,,,,,,,,568,898MA,454.94,6719.98,455.09,25123,0.27,0.26,0.27,6722.09,,,
,,,,,,,,,,569,V5SNQ,434.41,6341.79,434.88,22380,0.26,0.26,0.26,6348.64,,,
